PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
John Jaworski,Sacred Heart,35,10,16,26,F,Sr.,Grinnell,Iowa,5'10 / 172,Sacred Heart,"Put name in portal, but is returning to Sacred Heart. ",Atlantic,Atlantic,3/15/2024
Max Dorrington,St. Lawrence,35,2,5,7,F,Sr.,North Reading,Massachusetts,6'3 / 220,Sacred Heart,,ECAC,Atlantic,3/26/2024
Gabe Blanchard ,UMass Lowell,12,0,1,1,D,Jr.,Buffalo,New York,5'10 / 181,Sacred Heart,,Hockey East,Atlantic,3/31/2024
Cole Mickel,Niagara,28,2,3,5,D,Fr.,Broomfield,Colorado,5'11 / 170,Saint Mary's,,Atlantic,DIII,4/25/2024
Aidan Connolly,Sacred Heart,2,0,0,0,F,So.,Marshfield,Massachusetts,5'11 / 170,Salve Regina,,Atlantic,DIII,3/31/2024
Caleb Huffman,Alaska-Anchorage,30,0,1,1,D,So.,Fairbanks,Alaska,6'4 / 201,Simon Fraser,,Independent,BCIHL,4/1/2024
Austin Fraser,Lindenwood,24,2,2,4,F,Fr.,"W Vancouver, BC",Canada,6'2 / 205,Simon Fraser,,Independent,BCIHL,4/20/2024
Cam Collins,Stonehill,18,0,1,1,F,So.,Raynham,Massachusetts,5'11 / 174,St. Anselm,,Independent,DIII,3/19/2024
Michael Martignetti,Stonehill,4,0,0,0,D,So.,Winchester,Massachusetts,6'0 / 185,St. Anselm,,Independent,DIII,3/19/2024
Gavin Enright,Bemidji State,15,3.18,0.872,6,G,Sr.,Farmington,Minnesota,6'2 / 161,St. Cloud State,,CCHA,NCHC,6/4/2024
Daimon Gardner,Clarkson,29,1,5,6,F,Fr.,"Eagle Lake, ON",Canada,6'5 / 205,St. Cloud State,2022 4th round pick of VAN.,ECAC,NCHC,4/6/2024
Josh Zinger,Northern Michigan,34,3,17,20,D,So.,"Red Deer, AB",Canada,5'11 / 181,St. Cloud State,,CCHA,NCHC,3/31/2024
Kaleb Tiessen,St. Cloud State,6,0,0,0,D,Fr.,"Leamington, ON",Canada,6'5 / 209,St. Cloud State,"Put name in portal, but is returning to SCSU.",NCHC,NCHC,4/30/2024
Isack Bandu,Northern Michigan,26,1,4,5,D,So.,"Notre-Dame, QC",Canada,6'2 / 194,St. Lawrence,,CCHA,ECAC,4/1/2024
Dominic Basse ,St. Cloud State,25,2.75,0.896,12,G,Sr.,Alexandria,Virginia,6'6 / 179,St. Lawrence,Two-time transfer. 2019 6th round pick of CHI. ,NCHC,ECAC,3/25/2024
Reilly Connors,Yale,30,1,4,5,F,Sr.,Madison,Connecticut,6'1 / 200,St. Lawrence,Two-time transfer. Also played at Union.,ECAC,ECAC,3/15/2024
Chase Foley,Colorado College,32,2,14,16,D,Sr.,West St. Paul,Minnesota ,5'10 / 170,St. Thomas,,NCHC,CCHA,3/27/2024
Ray Christy,Colorado College,36,2,5,7,F,Sr.,St. Paul,Minnesota,5'10 / 170,St. Thomas,,NCHC,CCHA,3/27/2024
Caige Sterzer,Lindenwood,28,8,14,22,F,Jr.,"Kimberley, BC",Canada,6'5 / 216,St. Thomas,Played both NCAA and ACHA hockey at Lindenwood.,Independent,CCHA,3/18/2024
Connor Androlewicz,Maine,-,-,-,-,G,Sr.,St. Louis,Missouri,6'2 / 201,Stonehill,,Hockey East,Independent,4/1/2024
Devlin O'Brien,Merrimack,30,3,5,8,F,Jr.,"Toronto, ON",Canada,5'11 / 185,Stonehill,,Hockey East,Independent,3/20/2024
Brady Hunter,Merrimack,11,0,2,2,F,Fr.,"Enfield, NS",Canada,5'8 / 174,Stonehill,,Hockey East,Independent,4/4/2024
Teddy Lagerback,Miami,22,1,1,2,F,So.,Minnetonka,Minnesota,6'1 / 194,Stonehill,,NCHC,Independent,5/5/2024
Evan Orr,Michigan Tech,14,1,1,2,D,So.,Shelby Township,Michigan,5'11 / 185,Stonehill,,CCHA,Independent,4/29/2024
Ryan Davies,Stonehill,19,1,2,3,D,So.,Arlington,Massachusetts,5'11 / 179,Stonehill,Entered portal but is returning,Independent,,3/19/2024
Gavin Fitzpatrick,Stonehill,14,7.55,0.817,0,G,Jr.,Norwood,Massachusetts,6'0 / 185,Stonehill,Entered portal but is returning,Independent,,3/19/2024
Henri Schreifels,Stonehill,36,8,8,16,F,Jr. ,Agoura Hills,California,6'2 / 194,Stonehill,Two-time transfer. Also played at RPI. Entered portal but returning,Independent,,3/21/2024
Joseph Grainda,Stonehill,22,3,4,7,F,Fr.,Carmel,Indiana,6'3 / 190,Stonehill,Entered portal but is returning,Atlantic,,3/22/2024
